,title,author,genre,description
0,To Kill a Mockingbird,Harper Lee,Fiction,A powerful story about racial injustice and moral growth in the American South.
1,1984,George Orwell,Dystopian,A chilling depiction of a totalitarian regime that uses surveillance and propaganda to control citizens.
2,The Alchemist,Paulo Coelho,Philosophical Fiction,A young shepherd travels in search of treasure and discovers the importance of following dreams.
3,The Great Gatsby,F. Scott Fitzgerald,Classic,"A tale of love, wealth, and illusion set in the Roaring Twenties."
4,Pride and Prejudice,Jane Austen,Romance,A classic story of love and misunderstanding between Elizabeth Bennet and Mr. Darcy.
5,The Hobbit,J.R.R. Tolkien,Fantasy,"Bilbo Baggins embarks on an adventurous quest filled with dragons, treasure, and self-discovery."
6,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,A young boy discovers he is a wizard and begins his journey at Hogwarts School.
7,The Catcher in the Rye,J.D. Salinger,Fiction,A teenage boy narrates his struggles with identity and alienation.
8,The Kite Runner,Khaled Hosseini,Drama,"A story of friendship, betrayal, and redemption set in Afghanistan."
9,Sapiens,Yuval Noah Harari,Non-fiction,An exploration of human history from ancient times to modern society.
10,Atomic Habits,James Clear,Self-help,A guide to building good habits and breaking bad ones through small changes.
11,The Power of Now,Eckhart Tolle,Spiritual,A book that teaches living in the present moment for a peaceful life.
12,Think and Grow Rich,Napoleon Hill,Self-help,A motivational book focused on success through mindset and determination.
13,Rich Dad Poor Dad,Robert Kiyosaki,Finance,A comparison of financial philosophies that teaches wealth-building strategies.
14,The Subtle Art of Not Giving a F*ck,Mark Manson,Self-help,A bold approach to living a meaningful life by focusing on what truly matters.
15,The Book Thief,Markus Zusak,Historical Fiction,A story of a young girl in Nazi Germany who finds solace in stealing books.
16,The Fault in Our Stars,John Green,Romance,A touching love story between two teenagers battling cancer.
17,A Brief History of Time,Stephen Hawking,Science,"An explanation of the universe, black holes, and time in simple language."
18,The Silent Patient,Alex Michaelides,Thriller,A psychological thriller about a woman who stops speaking after a shocking crime.
19,Gone Girl,Gillian Flynn,Thriller,A suspenseful story of a marriage filled with secrets and deception.
20,The Da Vinci Code,Dan Brown,Mystery,A fast-paced novel involving secret societies and hidden historical truths.
21,The Hunger Games,Suzanne Collins,Dystopian,A deadly competition in a futuristic society where survival is the ultimate goal.
22,The Road,Cormac McCarthy,Post-apocalyptic,A father and son journey through a bleak and dangerous world.
23,Life of Pi,Yann Martel,Adventure,A boy survives a shipwreck and shares a lifeboat with a Bengal tiger.
24,The Shining,Stephen King,Horror,A family becomes trapped in a haunted hotel with terrifying consequences.
25,Dracula,Bram Stoker,Horror,The classic tale of the infamous vampire Count Dracula.
26,Frankenstein,Mary Shelley,Science Fiction,A scientist creates life but must face the consequences of his actions.
27,The Little Prince,Antoine de Saint-Exupéry,Fable,"A philosophical tale about love, loneliness, and human nature."
28,Meditations,Marcus Aurelius,Philosophy,Personal writings of a Roman emperor on Stoic philosophy and life.
29,The 7 Habits of Highly Effective People,Stephen R. Covey,Self-help,A guide to personal and professional effectiveness through proven principles.
